values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start,value
0.1,beta,0,-0.5,0.5,0.1,-0.2,0.2,NA
0,tshift,1,0,3,0.1,0,10,NA
5,desired_mode,1,0,7,0.1,0,10,NA
17.556196159371368,viral_peak,0,0,40,0.1,15,25,NA
5.975847560237534,obs_sd,0,0,25,0.1,1,10,NA
0.25,sd_mod,1,0,1,0.1,0.4,0.6,NA
14,sd_mod_wane,1,0,14,0.1,0,14,NA
40,true_0,1,40,100,0.1,40,100,NA
40,intercept,1,35,100,0.1,35,100,NA
3,LOD,1,0,10,0.1,0,10,NA
5,incu,1,0,10,0.1,0,10,NA
11.533780914743465,t_switch,0,0,30,0.1,10,30,13
35.21711402984596,level_switch,0,0,40,0.1,33,40,NA
1000,wane_rate2,1,0,10000,0.1,10,50,NA
0.12308360377432079,prob_detect,0,0,1,0.1,0.01,0.1,NA
1,t_unit,1,0,1,0.1,0,1,NA
