values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0,tshift,1,0,3,0.1,0,10
5,desired_mode,1,0,7,0.1,0,10
17.55619616,viral_peak,0,0,40,0.1,15,25
5.97584756,obs_sd,0,0,25,0.1,1,10
0.25,sd_mod,1,0,1,0.1,0.4,0.6
14,sd_mod_wane,1,0,14,0.1,0,14
40,true_0,1,40,100,0.1,40,100
40,intercept,1,35,100,0.1,35,100
3,LOD,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
11.53378091,t_switch,0,0,30,0.1,10,30
35.21711403,level_switch,0,0,40,0.1,33,40
1000,wane_rate2,1,0,10000,0.1,10,50
0.123083604,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
2.5,R0_1,0,0,10,0.1,1.5,3
0.7,R0_2,0,0,10,0.1,1.5,3
2.5,R0_3,0,0,10,0.1,1.5,3
4,infectious,0,0,25,0.1,5,10
4,incubation,0,0,25,0.1,5,10
0,t0,0,0,100,0.1,0,50
1.00E-05,I0,1,0,0.01,0.1,0,0.001
60,t_switch1,1,0,365,0.1,0,365
150,t_switch2,1,0,365,0.1,0,365
